,onset,duration,run_number,trial_number,trial_sequence,saccade_direction,fixation_duration,post_stim_duration,spatial_jitter_x,spatial_jitter_y,trial_onset,trial_offset,check_fix_onset,fix_onset,fix_offset,s1_onset,s1_offset,s2_onset,s2_offset,s3_onset,s3_offset,fix_duration,s1_duration,s2_duration,s3_duration,miss_time_trial,blink_trial,no_saccade_trial,main_sac_trial,innacurate_sac_trial,early_sac_trial,late_sac_trial,sac_x_onset_trial,sac_x_offset_trial,sac_y_onset_trial,sac_y_offset_trial,sac_t_onset_trial,sac_t_offset_trial,sac_dur_trial,sac_vpeak_trial,sac_dist_trial,sac_amp_trial,sac_dist_ang_trial,sac_lat_trial,sac_amp_ang_trial,jitter_x_trial,jitter_y_trial,cor_sac_trial,cor_sac_x_onset_trial,cor_sac_x_offset_trial,cor_sac_y_onset_trial,cor_sac_y_offset_trial,cor_sac_t_onset_trial,cor_sac_t_offset_trial,cor_sac_dur_trial,cor_sac_vpeak_trial,cor_sac_dist_trial,cor_sac_amp_trial,cor_sac_dist_ang_trial,cor_sac_amp_ang_trial,time_independant_sac
25,13454.44843,1.789091,1,26,2,1,2,4,10,1,13403847.0,13405637.0,0.0,13403858.0,13404628.0,13404078.0,13404078.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.346918790460921,-2.921533125588522,2.886917804195293,1.9523041265781116,13404689.0,13404723.0,34.0,300.0571387307132,5.350709141610499,5.331984376570466,2.966021039444077,61.0,2.9528548860696597,2.0000000000000004,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,13456.74729,1.9190392,1,27,6,1,8,3,11,6,13406148.0,13408067.0,0.0,13406156.0,13407057.0,13406497.0,13406497.0,13406527.0,13406527.0,13406557.0,13406557.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.032302154046852,-2.526918461705713,5.2615288517708,3.101532796833314,13407118.0,13407159.0,41.0,276.99768101489195,5.964102347541818,6.078885083888175,2.7710018816571336,61.0,2.7587599615452207,2.5,0.0,1.0,3.032302154046852,-2.526918461705713,5.2615288517708,3.101532796833314,13407118.0,13407159.0,41.0,276.99768101489195,5.964102347541818,6.078885083888175,2.7710018816571336,2.7587599615452207,1.0
27,13459.14612,1.8590669,1,28,6,2,5,3,1,3,13408545.0,13410406.0,0.0,13408557.0,13409396.0,13408836.0,13408837.0,13408866.0,13408867.0,13408896.0,13408896.0,839.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.343457258321601,3.464993671462214,4.018838813753881,1.6961507482682183,13409489.0,13409562.0,73.0,226.33070827452082,6.255636023079987,6.395249717146357,0.38040362331083605,93.0,0.38683858718002745,-2.5,-1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,13461.56494,1.9892896,1,29,1,2,7,6,11,11,13410964.0,13412954.0,0.0,13410975.0,13411945.0,13411295.0,13411295.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.78307184001561,8.421907694972601,7.826524167009065,6.826141378744747,13412093.0,13412156.0,63.0,274.41179442981576,5.726887070844336,5.756253183323971,0.17558256290240642,148.0,0.20529727061378272,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,13464.16368,2.0189605,1,30,7,2,8,5,1,6,13413564.0,13415583.0,0.0,13413572.0,13414573.0,13413913.0,13413913.0,13413943.0,13413943.0,13413973.0,13413973.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.253457422699205,2.523456929566393,5.531528358637986,4.8080681415195,13414823.0,13414873.0,50.0,231.701537999528,4.8313875247835565,4.93684145734107,0.15030702959571784,250.0,0.17264133258826903,-2.5,0.0,1.0,-2.253457422699205,2.523456929566393,5.531528358637986,4.8080681415195,13414823.0,13414873.0,50.0,231.701537999528,4.8313875247835565,4.93684145734107,0.15030702959571784,0.17264133258826903,1.0
30,13466.70248,1.7690857,1,31,2,2,6,2,6,11,13416101.0,13417872.0,0.0,13416113.0,13416862.0,13416413.0,13416413.0,0.0,0.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.044999917811196055,5.053836923411426,7.847293359845001,6.649603239639281,13417067.0,13417113.0,46.0,234.67327158046285,5.150039783604459,5.297263962239692,0.23470840148019548,205.0,0.25971844198388433,0.0,2.5,1.0,0.044999917811196055,5.053836923411426,7.847293359845001,6.649603239639281,13417067.0,13417113.0,46.0,234.67327158046285,5.150039783604459,5.297263962239692,0.23470840148019548,0.25971844198388433,1.0
31,13468.97134,1.7192567,1,32,3,1,6,1,3,10,13418370.0,13420091.0,0.0,13418382.0,13419081.0,13418682.0,13418682.0,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.460766562794263,-6.788064525212197,7.345371199643181,4.832298866494761,13419009.0,13419057.0,48.0,258.52802189362603,5.8903001733373745,6.110278844215226,2.7008117206694315,-72.0,2.7015088526270694,-1.5000000000000002,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,13471.04032,1.8890303,1,33,6,1,9,2,4,9,13420441.0,13422330.0,0.0,13420449.0,13421320.0,13420811.0,13420811.0,13420841.0,13420841.0,13420871.0,13420871.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.7961523920442657,-4.780375884404918,6.788064525212197,4.652299195249969,13421607.0,13421695.0,88.0,210.5860219116254,4.520567484481034,5.427604023745212,2.6495183087429557,287.0,2.6702441129692613,-1.0000000000000002,1.5000000000000002,1.0,-0.7961523920442657,-4.780375884404918,6.788064525212197,4.652299195249969,13421607.0,13421695.0,88.0,210.5860219116254,4.520567484481034,5.427604023745212,2.6495183087429557,2.6702441129692613,1.0
33,13473.52915,1.7490748,1,34,5,2,5,2,4,2,13422928.0,13424678.0,0.0,13422939.0,13423669.0,13423219.0,13423219.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9588444025924433,6.3692191363541255,3.6761471319609136,0.35653781035025656,13423723.0,13423842.0,119.0,258.48166993953083,8.044894112352411,9.007815199620136,0.42534553385478147,54.0,0.38985456693657033,-1.0000000000000002,-2.0000000000000004,1.0,-0.9588444025924433,6.3692191363541255,3.6761471319609136,0.35653781035025656,13423723.0,13423842.0,119.0,258.48166993953083,8.044894112352411,9.007815199620136,0.42534553385478147,0.38985456693657033,1.0
34,13475.62812,1.8890575,1,35,2,2,2,6,5,7,13425028.0,13426917.0,0.0,13425037.0,13425908.0,13425258.0,13425258.0,0.0,0.0,0.0,0.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3461532139322894,4.904991041420543,6.068065840233034,4.181530824302057,13426113.0,13426166.0,53.0,272.06507341949157,5.579742857592879,5.8417536745023915,0.34490183330150964,205.0,0.3382408136323372,-0.5000000000000001,0.5000000000000001,1.0,-0.3461532139322894,4.904991041420543,6.068065840233034,4.181530824302057,13426113.0,13426166.0,53.0,272.06507341949157,5.579742857592879,5.8417536745023915,0.34490183330150964,0.3382408136323372,1.0
