,trial_sequence,median_tq,mean_land_tq,id
0,4,238.0,2.0739838740281065,11
1,4,306.0,2.073156986287723,11
0,5,245.5,1.7291880908718018,11
1,5,317.0,1.568717497600582,11
0,6,238.0,2.333450229086131,11
1,6,313.0,2.3223181713293886,11
0,7,201.5,2.954363290405768,11
1,7,296.0,2.8146994805809666,11
0,1,-177.0,3.0109222637526116,12
1,1,118.0,3.4270677367470683,12
0,2,-203.5,2.9164328609405796,12
1,2,-33.5,2.6777878370007913,12
0,3,-187.0,2.017303393201107,12
1,3,87.0,2.3410066405271,12
0,4,-193.0,1.5936077830772113,12
1,4,41.0,1.8768539882486572,12
0,5,-205.0,1.092123758366859,12
1,5,-15.0,1.2935415770804635,12
0,6,-257.0,1.7823270077440394,12
1,6,-60.0,1.8461279453499642,12
0,7,-256.0,2.5436164927244582,12
1,7,-41.0,2.6608079123776367,12
0,1,-314.5,4.190590307044967,13
1,1,-149.0,4.074762284280036,13
0,2,-300.5,3.8055805745786504,13
1,2,-141.0,3.857519312291573,13
0,3,-292.0,3.588247331416433,13
1,3,-120.5,3.472546594498566,13
0,4,-300.0,3.2131814663987908,13
1,4,-162.0,2.8458078326191405,13
0,5,-330.0,2.7642019104749993,13
1,5,-200.0,2.581560681090592,13
0,6,-399.5,3.040841147915868,13
1,6,-218.5,3.2172444892408008,13
0,7,-432.0,3.5157376866523986,13
1,7,-223.0,3.8404144008463725,13
0,1,-89.0,3.6650376496724033,14
1,1,303.0,3.734910132691204,14
0,2,-44.5,3.3525549618599153,14
1,2,259.0,3.522432336234263,14
0,3,-12.0,2.947206498075178,14
1,3,276.0,3.1900243916934583,14
0,4,16.5,2.644752734356046,14
1,4,307.0,2.9165838078722883,14
0,5,-14.5,2.1764793456275893,14
1,5,300.5,2.4278129648043794,14
0,6,-76.0,2.8440375203388415,14
1,6,254.0,3.0226438896802454,14
0,7,-31.0,3.1276782209349014,14
1,7,247.0,3.4439707771719084,14
0,1,-16.0,5.051453280383565,15
1,1,222.0,4.933240970098609,15
0,2,50.0,4.39532047890945,15
1,2,243.0,4.381786929687182,15
0,3,2.0,4.287391735706806,15
1,3,227.0,3.9896508125818615,15
0,4,43.0,3.7970346894660887,15
1,4,237.5,3.8202230910342987,15
0,5,-39.5,3.380508771351094,15
1,5,233.0,3.202355017428663,15
0,6,-75.0,3.8925953955372106,15
1,6,230.0,3.843625843198777,15
0,7,-122.0,4.301749094691822,15
1,7,212.5,4.252081104181228,15
0,1,222.5,5.405486146041158,16
1,1,306.5,5.305818606337005,16
0,2,238.0,4.99851609330118,16
1,2,315.5,4.794492447891944,16
0,3,230.0,4.589860646844267,16
1,3,302.0,4.4797247371483015,16
0,4,236.0,4.049422953202108,16
1,4,319.0,4.047592333428515,16
0,5,241.0,3.4890400005601867,16
1,5,345.5,3.4056823496476,16
0,6,243.0,4.423279466536996,16
1,6,328.0,4.106327441244347,16
0,7,240.0,4.898401729858719,16
1,7,304.0,4.613821262148873,16
0,1,229.0,4.663709278618846,17
