,trial_sequence,median_tq,mean_land_tq,id
0,6,183.0,2.7988280628180506,5
1,6,257.5,2.7725772884592454,5
2,6,329.0,2.5233460938336854,5
0,7,190.0,3.494958070565632,5
1,7,243.0,3.6355825859987596,5
2,7,353.0,3.5816566374888064,5
0,1,228.5,3.6979080575965346,6
1,1,256.0,3.6471032791498916,6
2,1,292.0,3.7360539857609227,6
0,2,220.5,3.271673633756624,6
1,2,261.0,3.307474028658594,6
2,2,312.5,3.2755931197284256,6
0,3,223.0,2.8231316409168516,6
1,3,258.5,2.7562728703999886,6
2,3,303.0,2.7983274614000084,6
0,4,226.0,2.312490801044961,6
1,4,258.0,2.3572158924184756,6
2,4,306.5,2.3970580697466226,6
0,5,225.5,1.7919908224185406,6
1,5,256.0,1.704835015028978,6
2,5,296.5,1.8682971441185494,6
0,6,222.0,2.495171639633709,6
1,6,254.0,2.3879738431741666,6
2,6,302.0,2.446438524373142,6
0,7,222.5,3.0636884960797146,6
1,7,251.0,3.154389164767463,6
2,7,288.0,3.082447370473797,6
0,1,-133.5,4.929063676854901,7
1,1,72.0,4.7705571272986225,7
2,1,418.0,4.7218959525516,7
0,2,-142.5,4.384010493151207,7
1,2,104.0,4.398595685815283,7
2,2,324.0,4.4907007326868555,7
0,3,-83.0,3.8863476479268693,7
1,3,251.5,4.166416152200366,7
2,3,414.0,4.130128304865147,7
0,4,-200.0,3.380400164009022,7
1,4,71.5,3.1815543733390297,7
2,4,342.5,3.325955463866081,7
0,5,-131.0,2.46909051302526,7
1,5,112.5,2.553217460881986,7
2,5,358.5,2.9459079098429166,7
0,6,-185.0,3.3688230580633673,7
1,6,61.0,3.806989557774902,7
2,6,345.0,3.63898598418543,7
0,7,-316.0,3.5840758174294516,7
1,7,-34.0,4.247187350165569,7
2,7,334.5,4.049651433563923,7
0,1,116.0,4.116552686175903,8
1,1,255.0,4.030233588494168,8
2,1,309.0,4.141960224663406,8
0,2,220.0,3.759461781740901,8
1,2,258.0,3.714247139239963,8
2,2,325.0,3.5634781463616005,8
0,3,220.0,3.179114863984354,8
1,3,268.0,3.1221319038349584,8
2,3,330.0,3.134652963169546,8
0,4,144.5,2.654904357838447,8
1,4,271.0,2.608373318213735,8
2,4,325.0,2.7005160711564846,8
0,5,219.0,2.064797872226943,8
1,5,267.5,2.2267501699520507,8
2,5,315.5,2.222362930431583,8
0,6,205.0,2.8584017641370734,8
1,6,264.0,2.846819889542656,8
2,6,327.0,2.787708307065976,8
0,7,179.0,3.625308645108249,8
1,7,255.0,3.4811231357791925,8
2,7,300.0,3.476624660024636,8
0,1,-121.5,4.487930040273302,9
1,1,143.0,4.571958839195023,9
2,1,310.0,4.467519234680588,9
0,2,-134.0,4.188317578181498,9
1,2,85.0,4.104655448716043,9
2,2,268.0,4.12137964039632,9
0,3,-111.0,3.718536027526688,9
1,3,124.0,3.5506814650513907,9
2,3,303.0,3.7038403853034048,9
0,4,-133.0,3.3850637475178527,9
1,4,140.0,3.357569929642499,9
2,4,281.0,3.487791413755149,9
0,5,-124.0,2.852397923028137,9
1,5,47.0,2.705103631948023,9
2,5,288.5,3.051629213051413,9
0,6,-184.0,3.4751812566698486,9
1,6,17.0,3.325934654455854,9
2,6,263.0,3.6884970481509503,9
0,7,-178.0,4.1134433925546965,9
1,7,77.0,3.9779952263949037,9
2,7,296.0,4.193357954080305,9
0,1,-2.0,3.720858588760501,10
1,1,155.0,3.5914037350448993,10
2,1,359.0,3.7495425996547014,10
0,2,15.0,3.3948247514931045,10
1,2,150.0,3.2560852283282045,10
2,2,314.0,3.168841636760571,10
0,3,-12.0,2.69353044433462,10
1,3,161.0,2.4122314180428965,10
2,3,328.0,2.96733938108127,10
0,4,24.0,2.279306239807004,10
1,4,256.0,2.3761334192023758,10
2,4,384.5,2.316453912260672,10
0,5,-10.0,1.949310741598889,10
1,5,198.5,1.6384408974226332,10
2,5,409.0,1.837604704135119,10
0,6,213.5,2.27711191055793,10
1,6,392.0,3.0624296953424257,10
2,6,437.0,3.0631980114978057,10
0,7,-176.0,3.1886452827128604,10
1,7,-121.0,2.8023016609140403,10
2,7,297.0,3.6165313996236734,10
0,1,189.0,3.540042609899383,11
1,1,258.0,3.304509933726805,11
2,1,339.0,3.356472179226269,11
0,2,226.0,3.011704857451289,11
1,2,263.5,3.1159458993131697,11
2,2,317.0,2.9145689009267146,11
0,3,233.0,2.558970059867774,11
1,3,273.0,2.49436157074344,11
2,3,336.0,2.5775459957303157,11
0,4,224.0,2.092516757544087,11
1,4,267.0,2.0844758746779473,11
2,4,340.0,2.043228943666688,11
0,5,225.0,1.7634380026704926,11
1,5,274.0,1.6985804703926721,11
