,sac_t_y_landing,sac_y_landing,time_independant_sac,trial_sequence
569,79.0,3.443458902097647,1.0,5
446,79.0,4.429604554660118,1.0,7
829,80.0,2.780375884404917,1.0,4
578,81.0,3.6972991130611677,1.0,5
337,81.0,4.772679024717402,1.0,7
193,82.0,4.766529755847625,1.0,2
515,82.0,3.068839635641905,1.0,6
751,83.0,3.547296647397096,1.0,4
826,83.0,3.2234602171184843,1.0,7
320,85.0,4.15691731106248,1.0,2
374,85.0,4.409218150088498,1.0,6
719,90.0,3.693454792657528,1.0,2
549,93.0,2.4261512414010324,1.0,5
718,93.0,4.094218725410114,1.0,3
560,93.0,5.049601595863233,1.0,2
397,94.0,2.992303140312484,1.0,5
207,95.0,3.46653304339972,1.0,3
726,96.0,3.770374076251264,1.0,1
768,98.0,3.6061509126458224,1.0,7
717,99.0,3.0319193657825387,1.0,2
626,99.0,4.43306608679944,1.0,2
679,102.0,5.11768387385674,1.0,2
734,102.0,3.93498824700126,1.0,3
821,102.0,3.636530906490859,1.0,7
116,103.0,3.6946113763307142,1.0,4
692,105.0,4.2792275196119665,1.0,7
11,105.0,3.8915359200078035,1.0,3
357,107.0,3.597305688165357,1.0,7
292,108.0,0.44115395363150933,1.0,5
535,110.0,3.5072976336627257,1.0,7
731,110.0,3.8303767062929417,1.0,6
381,113.0,3.831533289966128,1.0,1
773,114.0,3.1457671381158794,1.0,6
572,116.0,4.23075785078121,1.0,2
86,117.0,2.3365341940429536,1.0,5
770,117.0,2.5788414437955565,1.0,5
812,121.0,4.383073483791653,1.0,2
747,122.0,4.771913448188768,1.0,7
627,124.0,3.601532796833314,1.0,4
725,124.0,3.7596066915689796,1.0,3
643,127.0,3.3792291633880143,1.0,4
67,127.0,2.2034566008111813,1.0,6
456,127.0,4.007688640807279,1.0,3
720,128.0,4.928447970986932,1.0,1
349,128.0,5.001148364792949,1.0,1
468,129.0,3.331533289966128,1.0,3
384,132.0,4.365374815950486,1.0,1
498,132.0,4.208457504888008,1.0,2
174,133.0,4.7799930961406005,1.0,7
506,134.0,3.458453395447888,1.0,3
528,137.0,4.219607677834608,1.0,1
723,138.0,3.5784504366510035,1.0,4
711,140.0,4.573449532574175,1.0,2
777,140.0,3.805380404789049,1.0,4
590,140.0,4.2638338002369345,1.0,7
52,143.0,3.5588378274882517,1.0,2
685,143.0,4.786142365010377,1.0,1
618,143.0,2.4876850244999735,1.0,5
419,143.0,3.487685024499974,1.0,3
583,145.0,4.743838402809869,1.0,1
798,147.0,4.584990712665331,1.0,1
791,149.0,3.236149762002591,1.0,3
287,152.0,3.443458902097647,1.0,3
536,154.0,3.355764014941388,1.0,3
801,156.0,2.5761537070651053,1.0,5
186,158.0,4.708840293152323,1.0,1
391,158.0,2.145767138115879,1.0,4
386,163.0,3.7265307421132547,1.0,6
481,170.0,2.560768206570311,1.0,2
746,173.0,3.984989068889283,1.0,1
141,177.0,4.490380980110665,1.0,4
545,182.0,4.851528687393196,1.0,1
793,183.0,2.4430761138333295,1.0,4
567,183.0,4.040381801998688,1.0,2
352,188.0,4.983449696951782,1.0,7
809,189.0,3.0442261224023275,1.0,2
577,191.0,3.7519180507617014,1.0,7
712,191.0,3.51961260916275,1.0,3
442,192.0,3.352685271066382,1.0,4
291,193.0,4.855764014941388,1.0,7
576,194.0,2.9034598883632765,1.0,5
418,194.0,4.090374405006474,1.0,4
523,195.0,1.9896071847017938,1.0,5
132,195.0,4.511915749475234,1.0,7
401,196.0,4.597688476429674,1.0,1
235,197.0,4.752683627290335,1.0,2
830,197.0,3.950381966376292,1.0,7
336,199.0,4.477683216346323,1.0,6
613,199.0,3.0384596417968686,1.0,5
786,200.0,3.9534524913710625,1.0,7
30,200.0,4.714606773757782,1.0,1
480,200.0,2.62884226568358,1.0,3
295,202.0,3.51769044896093,1.0,6
579,202.0,4.930761138333305,1.0,1
497,203.0,4.069988000434854,1.0,4
722,203.0,3.3846128557291584,1.0,3
520,204.0,3.216537152839841,1.0,6
35,204.0,3.901920516425772,1.0,1
293,204.0,4.130381637621084,1.0,2
471,205.0,4.069996219315092,1.0,6
568,206.0,4.491912133167931,1.0,7
596,206.0,4.067300263704401,1.0,6
307,207.0,4.6530647717786024,1.0,6
261,207.0,5.497295825509072,1.0,1
587,208.0,2.9153838567187473,1.0,4
163,208.0,3.3515369062734326,1.0,4
354,210.0,4.213841197229149,1.0,4
544,211.0,3.9592189719765214,1.0,3
95,212.0,5.02345692956639,1.0,2
512,213.0,4.471142940331993,1.0,1
651,213.0,2.154612362596344,1.0,3
603,213.0,3.5369202698593645,1.0,7
759,214.0,2.2107624533541426,1.0,5
778,215.0,2.614222341717418,1.0,4
624,215.0,4.99383429336975,1.0,1
316,216.0,3.645767138115879,1.0,7
257,216.0,5.356912379734337,1.0,1
683,216.0,3.530762782109352,1.0,4
221,216.0,4.696525317652297,1.0,2
299,216.0,5.381525892973914,1.0,1
373,217.0,3.828454546091122,1.0,1
646,217.0,3.932300510270809,1.0,1
453,217.0,3.025379089768209,1.0,3
757,218.0,2.949608170967423,1.0,5
175,218.0,4.048453231070282,1.0,4
439,219.0,3.763068223708303,1.0,7
467,219.0,4.6530647717786024,1.0,7
296,220.0,4.675756124816361,1.0,2
162,220.0,4.032684942311172,1.0,6
764,220.0,3.0442261224023275,1.0,5
767,220.0,4.083451340727829,1.0,4
659,221.0,3.589608828477841,1.0,2
358,222.0,3.0280668264986623,1.0,5
472,222.0,2.9734561076783654,1.0,4
765,222.0,3.797683545101532,1.0,2
475,222.0,4.340761302710908,1.0,7
216,223.0,3.9342226704726286,1.0,4
447,224.0,3.2192248895702917,1.0,5
710,224.0,4.854224643003884,1.0,1
176,225.0,3.5930703606171646,1.0,6
32,226.0,4.463454299524714,1.0,1
404,226.0,3.708074716623689,1.0,4
273,226.0,3.9942253005143042,1.0,6
187,229.0,4.303458244587229,1.0,6
546,229.0,3.5065320571340926,1.0,5
466,229.0,2.4934597239856706,1.0,4
463,230.0,4.7311488579257635,1.0,1
434,231.0,4.0984540529583064,1.0,1
570,231.0,3.354224643003884,1.0,4
703,232.0,4.658456682999984,1.0,2
641,232.0,3.942685106688776,1.0,6
427,233.0,3.320374898139288,1.0,2
496,233.0,2.720764261507796,1.0,7
375,234.0,4.455757439837198,1.0,7
376,235.0,4.9403801582226405,1.0,7
500,235.0,2.8011450772408533,1.0,4
303,235.0,2.6623010034036225,1.0,5
594,235.0,3.3973024006132624,1.0,6
298,236.0,5.258832896160108,1.0,1
406,236.0,3.946912215356732,1.0,4
234,236.0,3.61115181672265,1.0,4
527,237.0,4.718451094161421,1.0,1
359,237.0,3.7673035512564956,1.0,6
700,237.0,4.248065511477824,1.0,6
185,238.0,3.580763603997376,1.0,5
192,238.0,4.02345692956639,1.0,4
96,242.0,5.421533125588522,1.0,1
255,244.0,4.348458162398424,1.0,3
256,244.0,4.715372350286415,1.0,3
501,244.0,3.2576845313671603,1.0,2
511,244.0,4.136913694755174,1.0,2
387,245.0,3.9765348515533736,1.0,2
485,246.0,4.170380651355455,1.0,1
338,246.0,3.768069127785129,1.0,4
131,247.0,4.531145570373668,1.0,6
103,249.0,3.4696117872747263,1.0,4
492,249.0,2.842691681792966,1.0,3
222,249.0,2.9349964658814973,1.0,5
241,249.0,3.7742266155351416,1.0,7
772,250.0,2.8149994246783843,1.0,4
612,251.0,4.101532796833315,1.0,3
342,251.0,2.9976868326536272,1.0,7
211,251.0,4.539990794854135,1.0,7
44,252.0,4.243072826281237,1.0,2
60,252.0,2.789221108885383,1.0,5
61,253.0,4.220381473243478,1.0,1
370,254.0,4.911148529170555,1.0,7
365,254.0,4.144610554442691,1.0,1
445,254.0,3.242690038016919,1.0,2
660,255.0,2.7838456354244787,1.0,3
272,256.0,4.5223003458932025,1.0,2
149,256.0,4.318835526201786,1.0,3
34,257.0,3.824219218542928,1.0,7
188,257.0,5.151533618721338,1.0,7
706,257.0,2.5561500907577983,1.0,4
575,258.0,4.997295825509072,1.0,1
347,258.0,3.3603821307538984,1.0,2
83,258.0,3.7111452416184596,1.0,3
408,260.0,3.2346103900650864,1.0,4
155,260.0,4.457687818919256,1.0,6
762,260.0,4.4311439265976205,1.0,2
609,261.0,3.1865317283788825,1.0,4
588,261.0,3.1161527207994735,1.0,3
804,261.0,2.7949958083710795,1.0,3
566,263.0,3.283454628279924,1.0,6
474,264.0,2.408069785295547,1.0,6
443,264.0,3.124606938135388,1.0,4
415,265.0,3.3223052772213455,1.0,3
483,265.0,4.1207626177317485,1.0,2
184,266.0,4.018456025489564,1.0,4
129,266.0,3.770374076251264,1.0,4
537,266.0,4.582685764199196,1.0,2
716,268.0,4.116918297328109,1.0,2
12,268.0,3.409609157233051,1.0,1
328,270.0,3.4903809801106647,1.0,7
92,271.0,4.163066579932256,1.0,6
814,273.0,4.896911393468709,1.0,7
565,273.0,4.478066004610638,1.0,2
455,274.0,4.747299934949191,1.0,1
154,274.0,3.1319210095585865,1.0,5
9,274.0,2.6023065922421833,1.0,5
440,275.0,4.41537563783851,1.0,2
317,275.0,4.318452737937468,1.0,4
388,277.0,2.6076902845833265,1.0,5
54,277.0,2.693845799802083,1.0,3
769,278.0,3.273843827270826,1.0,3
85,279.0,4.355381226677072,1.0,3
148,279.0,4.466150255135404,1.0,3
657,280.0,4.218833882425739,1.0,6
331,280.0,3.3349948221054495,1.0,5
245,281.0,4.1134567651887854,1.0,4
16,282.0,3.200760645200491,1.0,4
675,282.0,3.089991616742159,1.0,5
104,282.0,2.8272979624179335,1.0,5
70,283.0,4.0569156672864315,1.0,2
37,285.0,4.444607266890595,1.0,3
470,285.0,4.297300756837215,1.0,3
489,286.0,3.6899932605182064,1.0,4
389,286.0,4.0019139413215825,1.0,2
280,287.0,4.993068716841117,1.0,1
542,287.0,2.643453970769504,1.0,5
212,290.0,3.816147789471333,1.0,3
448,290.0,2.8626870792200334,1.0,5
250,291.0,4.816530577735649,1.0,7
356,291.0,4.6342177391444865,1.0,1
390,292.0,2.330384925173179,1.0,6
557,294.0,3.0369202698593645,1.0,6
766,295.0,3.3515286873931953,1.0,3
771,297.0,3.512689544884105,1.0,6
270,298.0,4.276914352265594,1.0,4
308,300.0,4.780758672669234,1.0,3
161,301.0,4.130381637621084,1.0,7
680,302.0,3.0034533132590866,1.0,6
340,303.0,3.6407662340390514,1.0,3
479,303.0,4.93960636281377,1.0,1
372,305.0,3.7588411150403465,1.0,6
355,305.0,1.6619182151393048,1.0,5
244,307.0,3.560377199425756,1.0,4
491,309.0,3.0122985377395506,1.0,1
633,309.0,4.296917968572899,1.0,1
314,310.0,4.1565345227981645,1.0,1
332,311.0,3.7288439094596275,1.0,4
305,311.0,3.984989068889283,1.0,2
629,314.0,4.539608006589817,1.0,2
80,315.0,3.915766644983063,1.0,5
449,319.0,4.216911722223919,1.0,6
400,321.0,3.8573033868788924,1.0,2
504,323.0,2.6115346049869657,1.0,5
183,323.0,2.9319177220064914,1.0,4
438,323.0,3.334229245576818,1.0,4
343,324.0,3.2573017431028446,1.0,5
166,327.0,2.1565345227981636,1.0,3
503,328.0,3.773835608390588,1.0,7
341,329.0,3.05345413514711,1.0,1
259,331.0,4.049609814743471,1.0,4
55,332.0,4.322297058341108,1.0,2
533,332.0,4.7796020889960475,1.0,7
88,332.0,3.1173010855924246,1.0,5
56,334.0,2.9034598883632765,1.0,6
69,334.0,3.863069867484351,1.0,2
228,335.0,4.423838074054659,1.0,7
219,335.0,4.514220697941371,1.0,3
173,335.0,4.374611047575507,1.0,5
444,336.0,4.5642215198293945,1.0,1
593,337.0,4.897294181733025,1.0,1
306,346.0,2.1972991130611677,1.0,5
97,350.0,3.7219126263007447,1.0,6
436,351.0,3.3569205986145745,1.0,6
133,353.0,3.7523008390260166,1.0,3
151,363.0,4.42845618986717,1.0,1
213,366.0,5.0092197938645455,1.0,1
267,366.0,4.489989972966112,1.0,7
437,366.0,3.9799963836926957,1.0,7
182,372.0,3.6442277661783753,1.0,6
420,374.0,3.7253823773203036,1.0,7
428,376.0,3.161918215139305,1.0,4
128,377.0,3.658456682999984,1.0,5
335,379.0,3.9192281771223865,1.0,7
